               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045392,            0.016308,           0.0096357,             0.93457,              0.8764,             0.91223,             0.42284,            0.035656,            0.012131,           0.0045581,            0.006436,            0.006436,            0.006436
                  38,              0.0482,            0.015969,            0.010516,             0.91754,              0.8716,             0.89995,             0.37748,            0.035614,            0.012473,           0.0047425,            0.006337,            0.006337,            0.006337
                  39,            0.045771,            0.016166,            0.010869,              0.9209,             0.88382,             0.91681,             0.41974,            0.035343,            0.012367,           0.0046785,            0.006238,            0.006238,            0.006238
                  40,            0.042382,            0.015777,           0.0080143,             0.93799,             0.88989,              0.9308,             0.44264,            0.034613,            0.011997,            0.004048,            0.006139,            0.006139,            0.006139
                  41,            0.044182,            0.015411,           0.0083092,             0.93552,              0.8602,             0.89846,             0.39206,            0.036181,            0.012556,           0.0039472,             0.00604,             0.00604,             0.00604
                  42,            0.044766,            0.014994,           0.0084023,             0.92943,             0.89032,             0.92437,             0.42305,            0.037243,            0.012263,           0.0041104,            0.005941,            0.005941,            0.005941
                  43,            0.045059,            0.015755,           0.0095917,             0.94583,             0.89142,             0.92452,             0.42665,            0.034448,            0.012256,           0.0036204,            0.005842,            0.005842,            0.005842
                  44,            0.041621,            0.015385,           0.0068822,              0.9306,             0.90506,             0.93291,             0.43767,            0.034971,            0.011968,           0.0033985,            0.005743,            0.005743,            0.005743
                  45,            0.044741,            0.014821,           0.0086886,             0.94168,             0.91498,             0.93486,             0.43306,            0.035625,            0.011967,           0.0030479,            0.005644,            0.005644,            0.005644
                  46,            0.044633,            0.015773,           0.0077982,             0.95099,             0.91407,             0.94229,             0.45061,            0.031977,            0.011976,            0.003283,            0.005545,            0.005545,            0.005545
                  47,            0.042509,             0.01469,           0.0070688,             0.94386,             0.89728,              0.9177,             0.42149,            0.035789,            0.012045,           0.0030477,            0.005446,            0.005446,            0.005446
                  48,            0.045712,            0.015152,           0.0068345,             0.94647,             0.91569,             0.94622,             0.45221,            0.035931,            0.011874,           0.0030721,            0.005347,            0.005347,            0.005347
